wall_ms,elapsed_rt_ms,kind,detail
1789420036226,990381073,log_open,"reason=start;pid=17333;cut_row_ended=fixes:0/events:0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420036233,990381080,start,"recorder=K: hand-written Kotlin. Fused location, high accuracy, 1 Hz, foreground service with a partial wake lock.;checks=Location services on:true|Location: precise:true|Location: allow all the time:true|Notifications allowed:true|Battery: unrestricted:true|Samsung: never sleeping app (set by hand; the app cannot read it):null"
1789420036233,990381080,hb,"recorder=0;since_fix_ms=-1;fixes_this_process=0;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420036235,990381082,log_reopen,"reason=start"
1789420036257,990381104,updates_on,"why=start;interval_ms=1000"
1789420036258,990381104,availability,"available=false"
1789420036274,990381121,availability,"available=true"
1789420041239,990386085,hb,"recorder=1;since_fix_ms=256;fixes_this_process=4;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420046242,990391089,hb,"recorder=1;since_fix_ms=256;fixes_this_process=9;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420051251,990396097,hb,"recorder=1;since_fix_ms=268;fixes_this_process=14;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420056264,990401110,hb,"recorder=1;since_fix_ms=278;fixes_this_process=19;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420061268,990406115,hb,"recorder=1;since_fix_ms=355;fixes_this_process=24;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420066276,990411123,hb,"recorder=1;since_fix_ms=294;fixes_this_process=29;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420071282,990416129,hb,"recorder=1;since_fix_ms=293;fixes_this_process=34;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420076288,990421134,hb,"recorder=1;since_fix_ms=304;fixes_this_process=39;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420081292,990426138,hb,"recorder=1;since_fix_ms=306;fixes_this_process=44;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420086305,990431151,hb,"recorder=1;since_fix_ms=321;fixes_this_process=49;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420091313,990436160,hb,"recorder=1;since_fix_ms=315;fixes_this_process=54;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420096318,990441165,hb,"recorder=1;since_fix_ms=337;fixes_this_process=59;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420101331,990446178,hb,"recorder=1;since_fix_ms=344;fixes_this_process=64;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420106337,990451184,hb,"recorder=1;since_fix_ms=350;fixes_this_process=69;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420111344,990456190,hb,"recorder=1;since_fix_ms=357;fixes_this_process=74;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420116352,990461199,hb,"recorder=1;since_fix_ms=366;fixes_this_process=79;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420121363,990466209,hb,"recorder=1;since_fix_ms=373;fixes_this_process=84;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420126364,990471211,hb,"recorder=1;since_fix_ms=378;fixes_this_process=89;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420131374,990476221,hb,"recorder=1;since_fix_ms=383;fixes_this_process=94;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420136379,990481225,hb,"recorder=1;since_fix_ms=390;fixes_this_process=99;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420141382,990486229,hb,"recorder=1;since_fix_ms=397;fixes_this_process=104;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420146395,990491242,hb,"recorder=1;since_fix_ms=410;fixes_this_process=109;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420151399,990496245,hb,"recorder=1;since_fix_ms=413;fixes_this_process=114;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420156405,990501252,hb,"recorder=1;since_fix_ms=417;fixes_this_process=119;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420161417,990506263,hb,"recorder=1;since_fix_ms=431;fixes_this_process=124;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420166424,990511270,hb,"recorder=1;since_fix_ms=435;fixes_this_process=129;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420171429,990516276,hb,"recorder=1;since_fix_ms=441;fixes_this_process=134;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420176439,990521286,hb,"recorder=1;since_fix_ms=450;fixes_this_process=139;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420181445,990526291,hb,"recorder=1;since_fix_ms=461;fixes_this_process=144;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420186453,990531299,hb,"recorder=1;since_fix_ms=466;fixes_this_process=149;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420191465,990536312,hb,"recorder=1;since_fix_ms=478;fixes_this_process=154;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420196474,990541320,hb,"recorder=1;since_fix_ms=486;fixes_this_process=159;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420201483,990546330,hb,"recorder=1;since_fix_ms=496;fixes_this_process=164;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420206497,990551343,hb,"recorder=1;since_fix_ms=514;fixes_this_process=169;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
