wall_ms,elapsed_rt_ms,kind,detail
1789420044126,990388973,log_open,"reason=start;pid=17556;cut_row_ended=fixes:0/events:0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420044132,990388979,start,"recorder=T: transistorsoft tslocationmanager 4.5.1, debug build. Raw fixes (PassThrough, no Kalman), stop detection off, 1 Hz.;checks=Location services on:true|Location: precise:true|Location: allow all the time:true|Notifications allowed:true|Physical activity (the SDK's motion sensing):true|Battery: unrestricted:true|Samsung: never sleeping app (set by hand; the app cannot read it):null"
1789420044133,990388979,hb,"recorder=0;since_fix_ms=-1;fixes_this_process=0;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420044158,990389005,sdk_started,"enabled=true;moving=false"
1789420044175,990389022,sdk_delivery_route,"route=listener"
1789420044175,990389022,sdk_motionchange,"moving=true;route=listener"
1789420044428,990389275,sdk_ready_on_resume,""
1789420049135,990393982,hb,"recorder=1;since_fix_ms=147;fixes_this_process=10;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420054143,990398990,hb,"recorder=1;since_fix_ms=154;fixes_this_process=15;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=90;charging=0;music=0;location_on=1"
1789420054695,990399541,sdk_ready_on_resume,""
1789420059149,990403996,hb,"recorder=1;since_fix_ms=161;fixes_this_process=22;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420064156,990409002,hb,"recorder=1;since_fix_ms=168;fixes_this_process=27;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420069160,990414007,hb,"recorder=1;since_fix_ms=170;fixes_this_process=32;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420074165,990419011,hb,"recorder=1;since_fix_ms=166;fixes_this_process=37;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420079173,990424020,hb,"recorder=1;since_fix_ms=183;fixes_this_process=42;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420084182,990429029,hb,"recorder=1;since_fix_ms=191;fixes_this_process=47;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420089186,990434032,hb,"recorder=1;since_fix_ms=193;fixes_this_process=52;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420094200,990439047,hb,"recorder=1;since_fix_ms=305;fixes_this_process=57;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420099205,990444052,hb,"recorder=1;since_fix_ms=212;fixes_this_process=62;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
