wall_ms,fix_ms,elapsed_rt_ms,lat,lon,acc_m,alt_m,vacc_m,speed_mps,bearing_deg,provider,mock,moving,sample,event
1789420044175,1789420043967,990388813,42.0410105,-93.6501412,3.984,255.00001525878906,6.9902735,0.029404514,,fused,0,1,0,motionchange
1789420044182,1789420043967,990388813,42.0410105,-93.6501412,3.984,255.00001525878906,6.9902735,0.029404514,,fused,0,1,0,
1789420044446,1789420043967,990388813,42.0410105,-93.6501412,3.984,255.00001525878906,6.9902735,0.029404514,,fused,0,1,0,
1789420044446,1789420043967,990388813,42.0410105,-93.6501412,3.984,255.00001525878906,6.9902735,0.029404514,,fused,0,1,0,
1789420044446,1789420043967,990388813,42.0410105,-93.6501412,3.984,255.00001525878906,6.9902735,0.029404514,,fused,0,1,0,
1789420044990,1789420044966,990389813,42.04101,-93.6501414,3.537,255.00001525878906,7.0234647,0.036975123,,fused,0,1,0,
1789420045991,1789420045967,990390813,42.0410094,-93.6501413,3.424,255.00001525878906,7.0336967,0.042070862,,fused,0,1,0,
1789420046992,1789420046968,990391814,42.041009,-93.6501412,3.232,255.00001525878906,7.4201107,0.04744446,,fused,0,1,0,
1789420047989,1789420047966,990392813,42.0410087,-93.6501412,3.048,255.00001525878906,7.0524416,0.05287436,,fused,0,1,0,
1789420048986,1789420048967,990393813,42.0410085,-93.6501411,3.024,255.00001525878906,7.0589347,0.057044595,,fused,0,1,0,
1789420049990,1789420049967,990394813,42.0410082,-93.6501409,3.0,255.00001525878906,6.4090986,0.060841843,,fused,0,1,0,
1789420050989,1789420050967,990395813,42.0410081,-93.6501409,3.0,255.00001525878906,6.457503,0.06260258,,fused,0,1,0,
1789420051988,1789420051967,990396813,42.0410078,-93.6501408,3.0,255.00001525878906,6.4389095,0.064496905,,fused,0,1,0,
1789420052988,1789420052966,990397813,42.0410076,-93.6501408,3.0,255.00001525878906,6.4454026,0.06651389,,fused,0,1,0,
1789420053987,1789420053966,990398813,42.0410073,-93.6501409,3.0,255.00001525878906,6.4482512,0.06759998,,fused,0,1,0,
1789420054705,1789420054398,990399245,42.0410072,-93.6501412,3.0,255.00001525878906,6.8981867,0.06752518,,fused,0,1,0,
1789420054715,1789420054398,990399245,42.0410072,-93.6501412,3.0,255.00001525878906,6.8981867,0.06752518,,fused,0,1,0,
1789420054716,1789420054398,990399245,42.0410072,-93.6501412,3.0,255.00001525878906,6.8981867,0.06752518,,fused,0,1,0,
1789420055990,1789420055966,990400813,42.0410069,-93.650141,3.0,255.00001525878906,6.9065747,0.07107783,,fused,0,1,0,
1789420056985,1789420056967,990401813,42.0410067,-93.650141,3.0,255.00001525878906,6.9070263,0.07182522,,fused,0,1,0,
1789420057989,1789420057967,990402813,42.0410065,-93.6501409,3.0,255.00001525878906,6.9195747,0.071665555,,fused,0,1,0,
1789420058986,1789420058967,990403813,42.0410063,-93.650141,3.0,255.00001525878906,6.9136357,0.070215985,,fused,0,1,0,
1789420059988,1789420059966,990404813,42.0410058,-93.650141,3.0,255.00001525878906,6.535891,0.23107849,90.00406,fused,0,1,0,
1789420060919,1789420060901,990405748,42.0410056,-93.650141,3.0,255.00001525878906,6.535891,0.237112,90.00047,fused,0,1,0,
1789420061990,1789420061968,990406814,42.0410043,-93.6501416,3.0,255.00001525878906,6.552909,0.079247475,,fused,0,1,0,
1789420062990,1789420062967,990407813,42.0410039,-93.6501418,3.0,255.00001525878906,6.569353,0.06939273,,fused,0,1,0,
